,guid,title,pubDate,description
0,https://www.nytimes.com/2023/12/05/us/aging-undocumented-farmworkers.html,Retirement Without a Net: The Plight of America’s Aging Farmworkers,"Tue, 05 Dec 2023 10:01:09 +0000",Immigrants who worked decades on U.S. farms are reaching retirement age in a country that offers them neither Medicare nor Social Security.
1,https://www.nytimes.com/2023/12/05/us/math-scores-pandemic-pisa.html,"Math Scores Dropped Globally, but the U.S. Still Trails Other Countries","Tue, 05 Dec 2023 10:02:23 +0000","In a global exam for 15-year-olds, only a handful of places, including Singapore, Japan and Australia, kept math performance high through the pandemic."
2,https://www.nytimes.com/2023/12/04/us/diplomat-cuba-foreign-agent-rocha.html,Retired U.S. Diplomat Accused of Working as a Secret Agent for Cuba,"Tue, 05 Dec 2023 00:26:03 +0000","Manuel Rocha, a former ambassador to Bolivia, secretly aided Cuba’s “clandestine intelligence-gathering mission,” U.S. authorities said."
3,https://www.nytimes.com/2023/12/04/us/schools-reading-program-california.html,"What Costs $1,000 Per Student and Might Help Children Learn to Read?","Mon, 04 Dec 2023 08:00:22 +0000",A new study found that California schools got positive results from a targeted investment in the science of reading — even with the challenges of pandemic recovery.
4,https://www.nytimes.com/2023/12/05/us/-harvard-university-of-pennsylvania-mit-antisemitism.html,"Harvard, M.I.T. and Penn Say They Are Acting Against Antisemitism, in Congressional Testimony","Tue, 05 Dec 2023 16:35:03 +0000","They acknowledged that there was antisemitic, and also Islamophobic, behavior on their campuses since the Hamas attack on Israel."
5,https://www.nytimes.com/2023/12/05/us/politics/supreme-court-corporate-taxes-explainer.html,"How a Legal Fight Over a $15,000 Tax Bill Could Upend the U.S. Tax Code","Tue, 05 Dec 2023 16:19:32 +0000",The Supreme Court ruling in the Moore case could cost the federal government billions of dollars in lost tax revenue.
6,https://www.nytimes.com/2023/12/05/us/politics/nikki-haley-trump.html,Nikki Haley’s Path From Trump Critic to Defender and Back,"Tue, 05 Dec 2023 16:03:15 +0000","As ambassador to the United Nations, Ms. Haley strove to stay in the president’s favor and avoided some battles to change his mind on contentious issues."
7,https://www.nytimes.com/2023/12/05/us/california-state-faculty-strikes.html,What to Know About the Cal State Faculty Strikes,"Tue, 05 Dec 2023 14:00:12 +0000","Rolling strikes are planned at four of the largest campuses in the university system, which together enroll more than 100,000 students."
8,https://www.nytimes.com/2023/12/05/us/politics/trump-2024-president-campaign.html,"Donald Trump’s 2024 Campaign, in His Own Menacing Words","Tue, 05 Dec 2023 10:03:26 +0000","Trump’s language has become darker, harsher and more threatening during his third run for the White House."
9,https://www.nytimes.com/2023/12/05/us/politics/republican-debate-how-to-watch.html,The Fourth Republican Debate: How to Watch,"Tue, 05 Dec 2023 05:01:12 +0000","The debate, featuring four candidates, will be held on Wednesday from 8 to 10 p.m. Eastern time."
10,https://www.nytimes.com/2023/12/04/us/arlington-house-explosion.html,House in Virginia Explodes as Police Prepare to Serve Search Warrant,"Tue, 05 Dec 2023 09:18:52 +0000",Police said that a man had fired a flare gun 30 to 40 times from inside his home. He discharged several more rounds from a firearm during a standoff.
11,https://www.nytimes.com/2023/12/04/us/23andme-hack-data.html,"Data Breach at 23andMe Affects 6.9 Million Profiles, Company Says","Tue, 05 Dec 2023 02:58:20 +0000","Hackers were able to obtain access because some customers reused old passwords, the genetic testing company said."
12,https://www.nytimes.com/2023/12/04/us/politics/republican-debates-trump.html,Republicans Weigh New Debate Rules That Could Lead to More Onstage Clashes,"Tue, 05 Dec 2023 03:03:09 +0000","The party is considering whether to open the door to debates not sponsored by the Republican National Committee, which could lead to more onstage clashes but also diminish their fanfare."
13,https://www.nytimes.com/2023/12/04/us/youtube-trevor-jacob-plane-crash-prison.html,Trevor Jacob Gets 6 Months for Destroying Evidence of Intentional Plane Crash,"Tue, 05 Dec 2023 13:30:15 +0000","Trevor D. Jacob, a YouTuber from Lompoc, Calif., removed the wreckage of the plane he crashed in Southern California in November 2021 to create a video promoting a wallet, federal officials said."
14,https://www.nytimes.com/2023/12/04/us/politics/kamala-harris-israel-middle-east.html,Harris Takes Forceful Tone With Israel in a Foray Into Mideast Diplomacy,"Tue, 05 Dec 2023 01:04:06 +0000",Vice President Kamala Harris has emerged as one of the highest-ranking American officials urging restraint by Israeli forces.
15,https://www.nytimes.com/2023/12/04/us/politics/georgia-congressional-district-mcbath.html,Georgia Republicans Add Majority-Black Congressional District at Expense of McBath,"Mon, 04 Dec 2023 23:09:58 +0000","If passed, the proposed maps would spur debate over whether majority-minority districts have the same protections against racial discrimination under the Voting Rights Act."
16,https://www.nytimes.com/2023/12/04/us/white-house-philadelphia-protesters.html,White House Condemns Protest at Israeli Restaurant in Philadelphia,"Tue, 05 Dec 2023 16:18:57 +0000","Pennsylvania state leaders including Gov. Josh Shapiro also criticized the protest held outside a falafel shop, calling it antisemitic."
17,https://www.nytimes.com/2023/12/04/us/politics/us-red-sea-task-force-iran.html,U.S. Considers Task Force to Guard Red Sea Ships From Iranian Proxy Forces,"Mon, 04 Dec 2023 22:57:57 +0000","The discussions come after a U.S. destroyer downed three drones targeting commercial ships on Sunday, part of a series of attacks by the Iranian-backed Houthi militia tied to Israel’s war against Hamas."
18,https://www.nytimes.com/2023/12/04/us/politics/rfk-jr-2024-election-pac.html,R.F.K. Jr. Allies Say They’ll Spend Over $10 Million on Ballot Access,"Mon, 04 Dec 2023 22:37:42 +0000","A super PAC backing Robert F. Kennedy Jr.’s independent presidential candidacy is leading the costly and legally complex effort, which the Democratic establishment is trying to fight."
19,https://www.nytimes.com/2023/12/04/us/politics/chris-christie-republicans-2024.html,Some Republicans Have a Message for Chris Christie: Drop Out,"Tue, 05 Dec 2023 01:16:42 +0000",Several anti-Trump Republican donors and strategists are pushing Mr. Christie to end his presidential campaign and back Nikki Haley.
20,https://www.nytimes.com/2023/12/04/us/tyler-goodson-dead-s-town-podcast.html,Tyler Goodson of ‘S-Town’ Podcast Is Shot Dead in Police Standoff,"Tue, 05 Dec 2023 13:10:23 +0000","Mr. Goodson, who had been featured in the investigative podcast set in the town of Woodstock, Ala., “brandished a gun at officers” before he was fatally shot, the authorities said."
21,https://www.nytimes.com/2023/12/04/us/politics/democrats-governors-biden-trump.html,"Talk About Abortion, Don’t Talk About Trump: Governors Give Biden Advice","Mon, 04 Dec 2023 18:12:04 +0000","At an annual gathering in Arizona, Democratic governors offered a series of explanations for the president’s political struggles and suggested ideas for selling voters on his re-election."
22,https://www.nytimes.com/2023/12/04/us/macys-stabbing-philadelphia-center-city.html,Security Guard Is Killed in Stabbing at Macy’s in Philadelphia,"Mon, 04 Dec 2023 22:46:56 +0000","A man was arrested after fleeing the store on the subway, the authorities said. It was unclear what led to the stabbing, in which one other security guard was injured."
